id,Inconsistency,Spelling,Grammar,Typographical,Spacing
1,2,18,0,1,0
2,1,6,0,0,0
3,0,15,0,0,0
4,0,4,1,0,0
5,0,23,0,0,0
6,0,54,0,0,0
7,0,8,0,0,0
8,0,14,0,0,0
9,3,31,0,0,0
10,0,15,0,0,0
11,0,31,0,0,0
12,0,8,0,0,0
13,0,3,0,0,0
14,0,2,1,2,0
15,0,21,0,0,0
16,0,4,0,0,0
17,0,3,0,1,0
18,0,9,0,0,0
19,0,0,0,0,0
20,0,9,0,0,0
21,0,13,0,0,0
22,1,32,0,4,0
23,0,14,0,0,0
24,0,20,0,0,0
25,0,4,0,1,0
26,1,5,0,0,0
27,0,15,0,0,1
28,0,3,0,5,1
29,1,5,0,0,0
30,0,10,0,0,0
31,0,8,0,0,0
32,0,4,1,1,0
33,1,30,0,0,0
34,0,19,0,0,0
35,0,18,0,0,0
36,0,21,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,7,0,0,0
41,0,37,1,0,2
42,0,4,0,0,0
43,0,14,0,0,0
44,0,11,0,1,0
45,0,38,0,0,0
46,0,13,0,0,0
47,0,16,0,0,0
48,1,3,0,0,0
49,1,58,0,0,0
50,0,4,0,0,0
51,0,7,0,0,0
52,0,46,0,0,0
53,0,7,0,0,0
54,0,5,0,2,0
55,0,12,0,0,0
56,0,8,0,0,0
57,1,31,0,0,0
58,0,4,0,0,3
59,0,9,0,0,0
60,1,17,0,0,0
61,1,46,0,0,0
62,0,15,0,0,0
63,0,18,0,0,0
64,0,11,0,0,0
65,0,6,0,0,0
66,0,1,0,2,0
67,0,4,0,0,0
68,0,13,0,0,0
69,0,11,0,0,0
70,0,21,0,0,0
71,0,13,0,2,0
72,0,3,0,1,0
73,0,2,0,0,0
74,0,5,0,0,0
75,0,33,0,0,0
76,0,22,0,0,0
77,0,22,0,0,0
78,0,20,0,0,1
79,0,38,0,0,0
80,0,5,0,0,0
81,0,16,0,0,0
82,0,27,0,0,0
83,0,3,0,0,0
84,0,40,0,0,0
85,0,13,0,0,0
86,0,64,0,1,0
87,1,8,0,0,0
88,0,3,0,0,0
89,0,3,0,0,0
90,0,14,0,1,0
91,0,1,0,0,0
92,0,13,0,0,0
93,1,12,0,0,0
94,0,11,0,0,0
95,0,3,0,2,0
96,0,2,0,0,0
97,0,162,0,0,0
98,0,9,0,0,0
99,0,11,0,0,0
100,0,15,0,0,0
101,0,10,0,17,3
102,0,6,0,0,0
103,1,14,0,0,0
104,0,33,0,0,0
105,1,8,0,0,0
106,0,2,1,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,9,0,1,1
118,0,6,0,0,0
119,0,18,0,0,2
120,0,9,0,1,0
121,0,14,0,0,0
122,0,7,0,1,0
123,0,14,0,0,0
124,0,8,0,0,0
125,0,18,0,0,0
126,0,11,0,0,0
127,2,13,1,0,0
128,0,8,0,0,0
129,0,22,0,0,0
130,0,26,0,0,0
131,0,19,0,0,0
132,0,22,0,0,1
133,2,11,1,0,0
134,0,6,0,0,0
135,0,6,0,0,0
136,0,5,0,0,0
137,0,12,0,0,0
138,0,28,0,0,0
139,0,17,0,0,0
140,0,2,0,0,0
141,0,25,0,0,3
142,0,27,0,0,0
143,0,4,0,1,0
144,0,12,0,0,0
145,0,8,0,0,0
146,0,8,0,0,0
147,0,7,0,0,0
148,0,15,0,0,0
149,0,15,0,0,0
150,0,11,0,0,0
151,0,15,0,0,0
152,0,20,0,0,0
153,0,10,0,0,0
154,0,20,0,0,0
155,0,15,0,0,0
156,0,3,0,0,0
157,0,12,1,0,0
158,0,3,0,0,0
159,0,19,0,0,0
160,0,8,0,0,0
161,1,28,2,1,0
162,0,24,0,0,0
163,1,6,0,0,0
164,0,22,0,0,0
165,0,2,0,0,0
166,1,25,0,0,0
167,1,3,0,0,0
168,0,14,0,0,3
169,0,11,0,1,0
170,0,28,0,1,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,14,1,0,0
175,0,16,3,0,0
176,0,9,0,0,0
177,0,6,1,0,0
178,1,8,0,0,0
179,0,5,0,0,0
180,0,5,0,0,0
181,0,44,0,4,3
182,1,3,0,0,0
183,0,1,0,0,0
184,0,5,0,0,0
185,0,3,0,0,0
186,0,1,0,0,0
187,0,3,0,0,0
188,0,9,1,0,0
189,0,5,0,1,0
190,0,0,0,0,0
191,0,26,0,0,0
192,1,5,0,0,0
193,1,1,0,0,0
194,0,5,1,0,0
195,0,16,0,0,0
196,0,10,0,0,0
197,0,12,0,0,0
198,0,12,0,0,0
199,0,16,0,0,0
200,0,10,0,0,0
201,1,3,0,0,0
202,1,4,0,0,0
203,0,16,0,0,0
204,0,8,0,0,0
205,0,0,0,0,0
206,0,4,0,1,0
207,0,4,0,0,0
208,0,12,0,0,0
209,0,10,0,1,0
210,0,16,0,0,0
211,0,4,0,1,0
212,0,6,0,0,0
213,2,16,1,0,0
214,0,17,0,0,0
215,0,19,0,0,0
216,0,16,0,0,0
217,0,28,0,0,0
218,1,13,0,0,0
219,0,23,0,0,0
220,0,0,0,0,0
221,0,29,0,0,0
222,0,4,0,0,0
223,0,16,0,0,0
224,1,24,0,0,0
225,0,11,0,0,0
226,0,28,0,0,0
227,0,21,0,0,0
228,0,3,0,0,0
229,0,21,0,0,0
230,0,39,1,1,0
231,0,19,0,0,0
232,0,96,0,1,0
233,0,7,0,0,0
234,0,14,0,0,0
235,0,11,0,0,0
236,1,19,1,0,0
237,0,15,0,0,0
238,0,28,1,1,0
239,0,4,0,0,0
240,0,2,0,0,0
241,0,52,1,4,1
242,0,15,0,0,0
243,0,1,0,0,0
244,1,11,0,0,0
245,0,7,0,0,0
246,0,3,0,1,0
247,0,16,0,0,0
248,0,24,0,0,0
249,1,8,0,0,0
250,0,24,0,1,0
251,0,26,0,0,0
252,0,10,0,0,0
253,0,29,0,0,0
254,0,43,0,1,0
255,0,8,0,1,0
256,0,5,0,5,0
257,0,16,1,0,0
258,1,23,0,0,1
259,0,16,0,0,1
260,0,25,0,0,0
261,0,15,0,1,0
262,0,9,0,0,0
263,0,15,0,0,0
264,0,30,0,0,0
265,0,11,0,0,0
266,0,19,0,0,0
267,0,17,0,1,0
268,0,7,0,0,0
269,0,24,0,0,0
270,0,23,0,0,0
271,0,36,0,0,0
272,1,17,0,0,1
273,1,9,0,0,0
274,0,28,0,0,0
275,0,25,0,0,1
276,0,14,0,0,0
277,0,14,0,0,0
278,0,11,0,0,0
279,1,7,0,0,0
280,2,8,0,0,0
281,0,8,0,0,0
282,0,12,0,0,0
283,0,29,0,0,0
284,0,6,0,0,0
285,0,14,0,1,0
286,0,11,0,0,0
287,0,34,0,0,0
288,0,2,1,0,0
289,0,13,0,0,0
290,0,11,0,0,1
291,0,23,0,0,0
292,0,13,1,0,0
293,0,3,0,0,0
294,0,14,0,0,0
295,0,5,0,0,0
296,0,3,0,1,0
297,0,1,0,0,0
298,0,17,0,0,0
299,0,5,0,0,0
300,0,9,1,0,0
301,0,14,0,0,0
302,0,10,1,0,0
303,0,3,0,0,0
304,0,4,0,0,0
305,0,12,0,0,0
306,0,9,0,0,0
307,0,7,0,0,0
308,1,9,0,5,0
309,0,23,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,8,0,0,0
317,0,15,0,0,3
318,0,27,0,0,0
319,0,19,0,0,0
320,0,22,0,0,0
321,0,4,0,0,0
322,0,3,0,0,0
323,0,8,0,2,0
324,0,9,0,0,0
325,2,9,0,0,0
326,0,10,0,0,0
327,0,13,0,0,1
328,0,15,1,0,0
329,0,15,0,0,0
330,2,22,2,0,0
331,0,7,0,0,0
332,0,1,0,0,0
333,0,13,0,0,0
334,0,32,0,1,0
335,0,0,0,0,0
336,0,25,0,0,0
337,0,20,0,0,0
338,0,10,0,0,0
339,0,5,0,0,0
340,0,2,0,0,0
341,0,23,0,0,0
342,0,2,0,15,0
343,0,16,0,0,0
344,0,12,0,0,0
345,0,20,0,0,0
346,0,21,0,3,0
347,0,8,1,0,0
348,0,10,0,0,0
349,0,19,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,14,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,5,2,0,0
370,0,20,0,0,0
371,0,21,0,0,0
372,0,21,0,0,0
373,0,9,0,0,1
374,3,19,0,0,0
375,0,14,0,0,0
376,0,9,0,0,0
377,0,4,0,0,0
378,0,18,0,0,0
379,0,10,0,0,0
380,2,7,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,12,1,0,0
384,0,14,0,0,0
385,0,9,0,0,0
386,0,17,0,0,0
387,0,4,0,0,0
388,0,11,0,1,0
389,0,6,0,24,0
390,0,12,0,0,0
391,0,14,1,0,0
392,0,9,0,0,0
393,0,23,0,1,0
394,0,6,0,0,0
395,0,11,0,0,0
396,0,12,0,0,0
397,0,16,0,0,0
398,0,2,0,1,0
399,0,11,1,0,0
400,0,12,0,0,0
401,1,13,0,0,0
402,1,13,0,0,0
403,0,16,0,0,0
404,0,0,0,0,0
405,0,14,0,0,0
406,0,7,0,0,0
407,0,3,0,0,0
408,0,10,0,0,0
409,0,4,0,0,0
410,0,20,0,0,0
411,0,17,0,0,0
412,0,7,0,0,1
413,0,5,0,0,0
414,1,5,0,0,0
415,0,5,0,0,0
416,0,7,0,0,0
417,0,4,1,0,0
418,0,14,0,0,0
419,0,3,0,0,0
420,0,1,0,0,0
421,0,14,0,0,0
422,0,3,0,0,0
423,1,4,0,1,1
424,2,8,0,0,0
425,0,21,2,0,0
426,0,10,0,0,0
427,0,11,0,0,0
428,0,8,0,0,0
429,0,11,0,0,0
430,1,7,0,1,0
431,0,22,0,0,0
432,1,12,0,0,0
433,0,5,0,0,0
434,0,63,0,0,0
435,0,9,0,0,0
436,0,18,2,0,2
437,0,10,0,0,0
438,0,15,0,0,0
439,0,7,1,0,0
440,0,15,0,0,1
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,15,0,0,0
445,0,15,0,0,0
446,0,15,1,0,0
447,0,29,0,0,0
448,0,18,1,0,0
449,0,8,0,0,0
450,0,18,0,0,0
451,0,41,0,0,0
452,0,24,0,0,0
453,0,6,0,1,0
454,1,9,1,0,0
455,0,12,0,0,0
456,0,5,0,0,0
457,0,21,0,0,0
458,1,19,0,0,0
459,1,11,1,0,1
460,0,19,0,0,0
461,0,3,0,1,0
462,0,3,0,0,0
463,0,11,1,0,0
464,0,6,0,0,0
465,1,5,0,0,0
466,0,18,0,0,0
467,0,4,0,0,0
468,0,6,0,0,0
469,0,41,0,0,0
470,0,0,0,0,0
471,0,12,0,1,0
472,0,2,0,0,0
473,0,16,0,1,0
474,0,13,0,0,0
475,0,0,0,0,0
476,0,6,0,0,0
477,0,31,0,0,0
478,0,5,1,0,0
479,0,3,0,0,0
480,0,9,0,10,0
481,0,7,0,0,0
482,0,20,0,0,0
483,0,11,0,0,1
484,0,1,0,0,0
485,0,9,0,0,0
486,0,9,0,0,0
487,0,15,0,0,0
488,0,10,0,0,0
489,0,14,0,0,0
490,0,11,0,0,0
491,0,7,0,0,0
492,1,30,0,0,0
493,1,2,0,0,0
494,0,0,0,0,0
495,0,2,0,0,0
496,0,18,0,0,0
497,0,15,0,0,0
498,0,22,0,0,0
499,0,12,0,0,0
500,0,146,0,0,0
501,0,14,0,0,0
502,0,13,0,0,0
503,0,27,0,0,1
504,0,12,0,0,0
505,0,133,0,2,0
506,0,3,1,35,0
507,0,21,0,0,0
508,0,31,0,0,0
509,0,9,0,0,0
510,0,9,0,0,0
511,0,3,0,9,2
512,0,11,0,0,0
513,0,7,0,32,0
514,0,16,0,0,0
515,0,9,0,0,0
516,0,39,0,0,0
517,0,19,0,0,0
518,0,17,0,0,0
519,0,19,0,0,0
520,0,12,0,0,0
521,0,0,0,0,0
522,1,9,0,0,0
523,0,10,0,0,0
524,0,9,0,0,0
525,0,6,0,0,2
526,0,3,0,0,0
527,0,16,0,0,0
528,0,2,0,0,0
529,0,3,0,0,0
530,0,14,0,0,0
531,0,0,0,0,0
532,0,14,0,0,0
533,0,83,0,0,0
534,0,17,0,0,0
535,0,4,0,0,0
536,0,9,0,0,0
537,1,22,0,1,0
538,0,16,0,0,0
539,0,7,0,0,0
540,0,21,0,2,0
541,0,6,0,0,0
542,0,12,0,0,0
543,0,4,1,0,0
544,0,9,0,0,0
545,0,5,0,0,0
546,0,9,1,25,0
547,0,11,0,0,0
548,0,32,0,0,0
549,0,19,0,0,0
550,0,19,0,0,0
551,0,18,0,0,0
552,0,20,0,0,0
553,0,13,0,0,0
554,1,14,0,0,0
555,0,7,0,0,0
556,0,1,0,0,0
557,0,15,0,0,0
558,0,11,0,0,0
559,0,0,0,0,0
560,0,0,0,0,0
561,1,21,0,0,0
562,0,1,0,0,0
563,0,1,1,0,0
564,0,11,0,0,0
565,0,62,0,0,0
566,0,8,0,0,0
567,0,7,0,0,0
568,0,9,0,1,0
569,0,16,0,0,0
570,0,8,0,0,0
571,0,5,0,0,0
572,0,0,0,0,0
573,0,13,0,0,0
574,0,8,0,0,0
575,0,7,0,1,0
576,0,28,0,0,0
577,0,7,0,0,1
578,0,8,0,0,0
579,0,11,0,0,0
580,0,30,0,0,0
581,0,10,0,0,0
582,0,15,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,0,0
586,0,0,0,0,0
587,0,4,0,0,0
588,1,13,0,0,0
589,0,55,0,0,0
590,0,5,0,0,0
591,0,38,0,0,0
592,0,26,0,0,0
593,0,25,0,0,0
594,1,25,0,1,0
595,0,5,0,0,0
596,0,33,0,0,1
597,0,16,0,0,0
598,0,35,0,0,0
599,0,21,0,0,0
600,3,4,0,0,0
601,0,13,0,0,0
602,0,12,1,0,0
603,0,7,0,0,0
604,0,20,0,0,0
605,1,12,0,1,0
606,0,25,0,0,0
607,0,9,0,0,0
608,0,26,0,0,0
609,0,14,0,0,0
610,1,17,0,0,0
611,0,22,0,0,2
612,0,13,0,0,0
613,0,10,0,0,0
614,0,10,0,0,0
615,0,28,1,0,0
616,0,3,0,0,0
617,0,0,0,0,0
618,0,14,0,0,0
619,0,18,0,0,0
620,0,11,1,1,0
621,0,17,0,0,0
622,0,27,0,0,0
623,0,46,0,1,0
624,1,12,0,0,0
625,0,11,0,0,0
626,1,8,0,0,0
627,0,18,0,0,4
628,0,20,0,0,0
629,0,7,0,0,0
630,0,3,0,0,0
631,0,19,0,0,0
632,0,6,1,0,0
633,0,18,0,0,0
634,0,1,0,0,0
635,1,15,0,1,0
636,0,20,0,1,0
637,0,36,0,0,0
638,0,13,1,0,0
639,0,1,0,0,0
640,0,17,0,0,0
641,0,6,0,2,0
642,0,15,0,2,0
643,0,4,0,0,0
644,0,17,0,0,0
645,0,4,0,0,0
646,0,7,0,0,0
647,0,9,0,0,0
648,0,7,0,0,0
649,0,31,0,1,0
650,0,2,0,0,0
651,1,17,1,0,0
652,0,23,0,1,0
653,0,8,0,0,0
654,0,56,0,0,0
655,0,8,0,0,0
656,1,17,0,0,0
657,0,12,0,0,0
658,0,10,0,0,0
659,0,11,0,0,0
660,0,9,0,2,0
661,2,8,0,0,0
662,0,4,0,0,0
663,0,12,0,0,0
664,0,22,0,0,0
665,0,12,1,0,0
666,0,9,0,0,0
667,8,39,0,0,0
668,0,25,1,1,0
669,0,30,2,0,0
670,0,5,0,0,0
671,0,80,0,0,0
672,0,9,0,0,0
673,0,29,0,1,0
674,0,22,0,3,0
675,0,8,0,0,0
676,0,5,0,0,0
