id,GSearch,GSearchNews
1,Cerca de 54 resultados (0.37 segundos) ,Cerca de 643 resultados (0.32 segundos) 
2,"Cerca de 10,600 resultados (0.32 segundos) ",Cerca de 105 resultados (0.14 segundos) 
3,"Cerca de 11,000 resultados (0.50 segundos) ",No results
4,"Cerca de 63,500 resultados (0.33 segundos) ",10 resultados (0.17 segundos) 
5,"Cerca de 124,000 resultados (0.34 segundos) ","Cerca de 1,190 resultados (0.17 segundos) "
6,"Cerca de 110,000,000 resultados (0.52 segundos) ","Cerca de 1,760,000 resultados (0.29 segundos) "
7,"Cerca de 1,540 resultados (0.35 segundos) ",No results
8,"Cerca de 316,000,000 resultados (0.37 segundos) ","Cerca de 12,100,000 resultados (0.33 segundos) "
9,"Cerca de 33,400 resultados (0.66 segundos) ",8 resultados (0.21 segundos) 
10,"Cerca de 39,200 resultados (0.58 segundos) ",3 resultados (0.22 segundos) 
11,"Cerca de 127,000 resultados (0.33 segundos) ",Cerca de 143 resultados (0.17 segundos) 
12,"Cerca de 6,550,000 resultados (0.40 segundos) ","Cerca de 78,000 resultados (0.31 segundos) "
13,"Cerca de 80,000 resultados (0.37 segundos) ",Cerca de 449 resultados (0.20 segundos) 
14,"Cerca de 4,100,000 resultados (0.50 segundos) ","Cerca de 458,000 resultados (0.26 segundos) "
15,"Cerca de 7,330 resultados (0.44 segundos) ",No results
16,"Cerca de 1,190,000 resultados (0.56 segundos) ","Cerca de 21,800 resultados (0.29 segundos) "
17,"Cerca de 34,700 resultados (0.54 segundos) ",No results
18,"Cerca de 42,300 resultados (0.58 segundos) ",No results
19,"Cerca de 14,000,000 resultados (0.52 segundos) ","Cerca de 53,900 resultados (0.25 segundos) "
20,"Cerca de 56,600 resultados (0.65 segundos) ",10 resultados (0.25 segundos) 
21,"Cerca de 24,700 resultados (0.42 segundos) ","Cerca de 4,850 resultados (0.19 segundos) "
22,"Cerca de 11,000 resultados (0.62 segundos) ",4 resultados (0.19 segundos) 
23,"Cerca de 58,000 resultados (0.48 segundos) ",Cerca de 30 resultados (0.20 segundos) 
24,"Cerca de 7,160 resultados (0.56 segundos) ",10 resultados (0.27 segundos) 
25,9 resultados (0.52 segundos) ,2 resultados (0.22 segundos) 
26,"Cerca de 218,000 resultados (0.52 segundos)",Cerca de 429 resultados (0.24 segundos) 
27,"Cerca de 612,000 resultados (0.63 segundos) ","Cerca de 27,500 resultados (0.26 segundos) "
28,"Cerca de 34,800 resultados (0.75 segundos) ",Cerca de 185 resultados (0.39 segundos) 
29,"Cerca de 207,000 resultados (0.65 segundos) ",Cerca de 834 resultados (0.21 segundos) 
30,"Cerca de 3,010,000 resultados (0.47 segundos) ","Cerca de 74,400 resultados (0.25 segundos) "
31,"Cerca de 85,200 resultados (0.38 segundos) ","Cerca de 1,970 resultados (0.23 segundos) "
